companion_seq,travel_id,rel_cd,companion_gender,companion_age_grp,companion_situation
1,h_h000001,1,1,6,1
2,h_h000001,2,1,2,1
2,h_h000008,2,2,2,1
1,h_h000008,1,1,5,1
1,h_h000009,1,1,4,1
2,h_h000010,2,1,2,1
1,h_h000010,1,1,5,1
3,h_h000010,2,2,2,1
2,h_h000013,2,1,1,1
1,h_h000013,1,1,4,1
2,h_h000014,2,1,1,1
4,h_h000014,2,2,1,1
6,h_h000014,3,2,7,3
1,h_h000014,1,1,4,1
3,h_h000014,2,2,1,1
5,h_h000014,3,1,6,3
7,h_h000014,5,2,3,3
1,h_h000017,1,1,4,1
1,h_h000020,1,1,5,1
2,h_h000020,2,1,1,1
1,h_h000025,8,2,3,3
1,h_h000028,3,1,8,1
2,h_h000028,3,2,7,1
1,h_h000030,3,2,7,3
2,h_h000031,7,1,3,1
1,h_h000031,7,1,3,1
3,h_h000031,7,1,3,1
1,h_h000032,1,1,4,1
1,h_h000037,1,2,4,1
1,h_h000042,3,1,7,1
3,h_h000042,5,1,4,1
2,h_h000042,3,2,7,1
1,h_h000043,1,1,4,1
3,h_h000043,2,2,1,1
2,h_h000043,2,1,1,1
2,h_h000047,3,1,8,1
1,h_h000047,2,2,1,1
3,h_h000047,3,2,7,1
1,h_h000049,1,1,7,1
1,h_h000052,1,1,5,1
3,h_h000052,5,2,5,2
5,h_h000052,3,2,7,3
2,h_h000052,2,1,1,1
4,h_h000052,3,1,7,3
1,h_h000058,1,1,5,1
3,h_h000058,2,1,1,1
2,h_h000058,2,2,1,1
1,h_h000065,7,2,4,1
2,h_h000068,2,1,1,1
1,h_h000068,1,1,4,1
3,h_h000068,2,2,1,1
1,h_h000069,1,1,5,1
2,h_h000078,7,2,4,1
4,h_h000078,7,2,4,1
1,h_h000078,1,1,4,1
3,h_h000078,7,2,4,1
1,h_h000087,2,2,2,1
2,h_h000087,2,2,2,1
1,h_h000091,8,1,4,1
1,h_h000093,1,1,4,1
2,h_h000093,2,1,1,1
1,h_h000097,1,2,4,1
3,h_h000097,2,1,1,1
5,h_h000097,3,2,7,2
2,h_h000097,2,2,1,1
4,h_h000097,3,1,8,2
2,h_h000098,9,2,3,1
4,h_h000098,9,2,3,1
1,h_h000098,9,2,4,1
3,h_h000098,9,2,3,1
1,h_h000103,3,2,7,1
1,h_h000104,1,1,4,1
3,h_h000104,2,1,1,1
2,h_h000104,2,1,1,1
2,h_h000107,2,2,1,1
1,h_h000107,1,2,4,1
2,h_h000111,7,2,4,1
1,h_h000111,2,1,1,1
3,h_h000111,11,1,1,1
1,h_h000121,3,1,6,1
2,h_h000121,5,2,4,1
1,h_h000124,9,2,4,3
2,h_h000125,3,2,7,1
4,h_h000125,2,2,1,1
1,h_h000125,1,1,5,1
3,h_h000125,2,1,1,1
1,h_h000126,3,2,6,1
1,h_h000137,7,2,3,1
1,h_h000138,1,2,5,1
1,h_h000141,7,2,5,1
3,h_h000141,7,2,5,1
5,h_h000141,7,2,5,1
2,h_h000141,7,2,5,1
4,h_h000141,7,2,5,1
1,h_h000147,1,2,5,1
2,h_h000150,11,2,2,1
1,h_h000150,2,2,2,1
1,h_h000155,1,1,4,1
3,h_h000155,2,1,1,1
2,h_h000155,2,2,1,1
2,h_h000156,2,2,1,1
1,h_h000156,1,1,4,1
1,h_h000158,1,2,5,1
3,h_h000158,2,1,2,1
2,h_h000158,2,2,2,1
1,h_h000163,1,2,5,1
2,h_h000171,2,1,1,1
4,h_h000171,3,2,8,3
1,h_h000171,1,1,5,1
3,h_h000171,3,1,8,3
1,h_h000172,7,2,3,1
1,h_h000173,1,2,4,1
1,h_h000176,1,1,7,1
3,h_h000176,5,2,7,3
2,h_h000176,5,1,7,3
4,h_h000176,5,2,4,3
2,h_h000179,3,2,8,1
4,h_h000179,2,1,1,1
6,h_h000179,6,2,4,3
1,h_h000179,3,1,8,1
3,h_h000179,1,1,5,1
5,h_h000179,5,1,5,3
2,h_h000181,7,2,3,1
1,h_h000181,7,2,3,1
3,h_h000181,7,2,3,1
1,h_h000185,1,1,4,1
2,h_h000185,2,1,1,1
1,h_h000186,1,1,5,1
3,h_h000186,2,1,1,1
2,h_h000186,2,2,1,1
1,h_h000188,1,2,5,1
3,h_h000188,3,2,8,1
2,h_h000188,3,1,8,1
2,h_h000192,2,1,1,1
1,h_h000192,1,1,5,1
3,h_h000192,2,1,1,1
1,h_h000200,1,1,4,1
1,h_h000202,8,1,3,1
1,h_h000203,7,1,3,1
3,h_h000203,7,1,3,1
2,h_h000203,7,1,3,1
1,h_h000204,3,2,7,1
3,h_h000212,7,2,5,1
5,h_h000212,11,1,1,1
2,h_h000212,2,1,1,1
4,h_h000212,11,1,1,1
1,h_h000212,2,2,2,1
2,h_h000218,2,2,1,1
4,h_h000218,2,2,1,1
1,h_h000218,1,2,5,1
3,h_h000218,2,2,1,1
2,h_h000221,2,1,1,1
1,h_h000221,1,2,4,1
1,h_h000222,8,1,3,1
1,h_h000224,1,1,5,1
1,h_h000225,8,1,3,1
3,h_h000225,11,2,6,1
2,h_h000225,11,2,8,1
1,h_h000228,1,2,7,1
1,h_h000230,3,2,7,1
1,h_h000232,1,1,5,1
2,h_h000232,2,2,1,1
1,h_h000233,8,1,4,1
1,h_h000234,1,1,6,2
1,h_h000237,1,1,4,1
1,h_h000238,1,1,4,1
3,h_h000238,2,1,1,1
2,h_h000238,2,1,1,1
1,h_h000245,1,1,5,1
1,h_h000247,1,1,5,1
1,h_h000250,8,2,3,1
1,h_h000256,8,2,4,3
2,h_h000257,2,1,2,1
1,h_h000257,1,1,5,1
3,h_h000257,2,1,1,1
2,h_h000258,9,1,4,1
1,h_h000258,2,1,2,1
3,h_h000258,5,2,5,1
1,h_h000259,3,1,7,1
2,h_h000259,3,2,7,1
1,h_h000261,1,2,5,1
2,h_h000263,8,1,4,1
1,h_h000263,5,2,4,3
2,h_h000267,7,2,3,1
1,h_h000267,7,2,3,1
1,h_h000271,8,1,4,1
2,h_h000276,7,2,5,1
1,h_h000276,7,2,5,1
1,h_h000280,8,1,3,1
2,h_h000281,2,2,2,1
1,h_h000281,1,2,5,1
3,h_h000281,2,2,1,1
1,h_h000283,1,2,4,1
3,h_h000283,2,2,1,1
2,h_h000283,2,1,1,1
1,h_h000291,7,2,5,1
1,h_h000294,3,2,7,1
1,h_h000300,1,2,5,1
2,h_h000300,2,2,2,1
1,h_h000301,1,2,6,2
2,h_h000304,2,2,1,1
1,h_h000304,1,1,5,1
9,h_h000306,11,1,2,1
11,h_h000306,11,1,5,1
13,h_h000306,11,2,1,1
2,h_h000306,2,1,1,1
4,h_h000306,3,2,8,1
6,h_h000306,5,2,5,1
8,h_h000306,11,1,2,1
10,h_h000306,5,2,5,1
12,h_h000306,11,1,2,1
1,h_h000306,1,2,5,1
3,h_h000306,3,1,8,1
5,h_h000306,5,2,6,1
7,h_h000306,11,1,5,3
1,h_h000307,1,1,4,1
3,h_h000307,2,2,1,1
2,h_h000307,2,1,1,1
1,h_h000311,8,1,4,1
2,h_h000312,9,1,6,1
1,h_h000312,9,1,3,1
1,h_h000313,1,1,5,1
2,h_h000313,2,1,1,1
1,h_h000314,1,2,6,1
2,h_h000319,2,2,2,1
1,h_h000319,1,1,4,1
3,h_h000319,2,2,1,1
2,h_h000321,2,2,1,1
4,h_h000321,7,2,4,1
6,h_h000321,11,2,1,1
1,h_h000321,1,1,4,1
3,h_h000321,7,1,5,1
5,h_h000321,11,2,1,1
1,h_h000322,7,1,3,1
1,h_h000323,1,2,5,1
1,h_h000324,7,2,3,1
1,h_h000328,7,1,4,1
1,h_h000329,9,1,6,1
2,h_h000329,9,1,5,1
2,h_h000334,3,2,7,1
1,h_h000334,1,2,4,1
1,h_h000336,10,2,7,1
2,h_h000336,10,2,6,1
1,h_h000337,7,2,5,1
1,h_h000339,10,2,4,3
1,h_h000340,8,1,3,1
2,h_h000342,5,1,4,1
4,h_h000342,2,2,2,1
1,h_h000342,3,2,8,1
3,h_h000342,2,2,2,1
5,h_h000342,2,2,1,1
1,h_h000344,2,2,2,1
2,h_h000346,2,1,2,1
1,h_h000346,1,1,5,1
3,h_h000346,2,2,1,1
1,h_h000351,8,1,3,1
1,h_h000453,1,1,5,1
3,h_h000453,2,2,1,1
2,h_h000453,2,1,1,1
1,h_h000455,8,2,4,1
1,h_h000456,7,2,4,1
1,h_h000458,9,1,4,1
1,h_h000459,7,2,3,1
1,h_h000461,8,2,3,1
2,h_h000464,2,2,2,1
1,h_h000464,1,1,5,1
3,h_h000464,2,2,2,1
1,h_h000468,7,2,4,1
2,h_h000475,2,2,1,1
4,h_h000475,3,2,7,3
6,h_h000475,6,2,4,3
1,h_h000475,1,1,5,1
3,h_h000475,3,1,7,3
5,h_h000475,5,1,4,3
7,h_h000475,6,2,1,3
2,h_h000480,5,2,4,1
1,h_h000480,3,2,6,1
3,h_h000480,6,1,4,1
1,h_h000482,4,1,7,1
3,h_h000482,5,2,5,3
5,h_h000482,11,1,2,3
2,h_h000482,4,2,7,1
4,h_h000482,5,1,4,3
2,h_h000484,2,1,2,1
1,h_h000484,1,1,5,1
3,h_h000484,2,1,2,1
2,h_h000486,2,2,1,1
1,h_h000486,1,1,5,1
2,h_h000487,2,2,1,1
1,h_h000487,1,1,4,1
3,h_h000487,2,2,1,1
1,h_h000488,8,1,4,1
1,h_h000489,1,1,4,1
1,h_h000491,8,1,5,1
1,h_h000494,2,2,3,1
2,h_h000496,7,2,3,3
1,h_h000496,7,2,3,3
1,h_h000498,8,1,4,3
1,h_h000500,8,2,3,1
1,h_h000512,1,2,5,1
3,h_h000512,2,1,2,1
2,h_h000512,2,1,2,1
4,h_h000512,2,2,1,1
1,h_h000516,3,2,6,1
1,h_h000520,2,2,3,1
1,h_h000521,7,2,3,1
2,h_h000522,2,2,1,1
1,h_h000522,1,1,5,1
1,h_h000523,7,2,4,1
1,h_h000527,7,2,3,1
1,h_h000529,2,1,1,1
1,h_h000530,1,2,5,1
2,h_h000530,2,1,1,1
1,h_h000531,7,2,3,3
1,h_h000533,8,2,4,1
1,h_h000534,8,1,3,1
1,h_h000536,8,1,3,1
1,h_h000537,1,1,5,1
3,h_h000537,2,2,1,1
2,h_h000537,2,1,1,1
2,h_h000544,1,1,5,1
4,h_h000544,2,1,1,1
1,h_h000544,3,2,7,1
3,h_h000544,2,2,2,1
1,h_h000551,7,2,3,3
1,h_h000571,8,1,3,1
1,h_h000574,7,2,4,1
3,h_h000574,7,2,4,3
2,h_h000574,7,2,4,3
1,h_h000580,8,1,5,1
1,h_h000581,5,2,3,1
2,h_h000581,2,2,1,1
1,h_h000583,1,2,5,1
2,h_h000585,2,2,1,1
1,h_h000585,1,2,5,1
2,h_h000588,2,1,1,1
1,h_h000588,1,2,4,1
3,h_h000588,2,2,1,1
1,h_h000589,1,1,4,1
3,h_h000589,2,2,1,1
2,h_h000589,2,1,1,1
1,h_h000590,3,2,7,3
1,h_h000592,1,1,4,1
1,h_h000595,7,2,5,1
1,h_h000597,8,1,5,1
1,h_h000599,1,1,6,1
1,h_h000601,7,2,3,1
2,h_h000602,2,1,1,1
1,h_h000602,1,2,4,1
4,h_h000603,2,1,1,1
1,h_h000603,1,1,5,1
3,h_h000603,2,2,1,1
5,h_h000603,3,2,6,1
2,h_h000603,2,2,2,1
1,h_h000609,10,2,5,3
1,h_h000614,1,1,5,1
3,h_h000614,2,2,1,1
2,h_h000614,2,2,2,1
1,h_h000615,1,2,4,1
2,h_h000616,11,2,2,1
1,h_h000616,2,2,4,1
3,h_h000616,11,2,2,1
1,h_h000617,8,2,3,1
1,h_h000619,8,1,3,1
1,h_h000620,8,2,3,1
3,h_h000620,11,2,3,3
2,h_h000620,7,1,3,3
2,h_h000624,2,1,1,1
1,h_h000624,3,2,6,1
1,h_h000627,8,1,3,1
1,h_h000629,8,2,3,1
3,h_h000630,3,2,8,3
5,h_h000630,6,1,5,3
7,h_h000630,6,2,5,3
9,h_h000630,6,2,2,3
11,h_h000630,6,1,2,3
2,h_h000630,3,1,8,3
4,h_h000630,6,2,5,3
6,h_h000630,6,1,6,3
8,h_h000630,6,2,2,3
10,h_h000630,6,2,1,3
1,h_h000630,1,1,4,1
1,h_h000635,7,2,4,3
2,h_h000637,7,2,3,1
1,h_h000637,8,2,3,1
3,h_h000637,7,1,3,1
1,h_h000645,1,1,5,3
3,h_h000645,2,2,1,1
2,h_h000645,2,1,1,1
1,h_h000648,8,1,4,1
1,h_h000652,1,1,4,1
1,h_h000653,8,1,3,1
1,h_h000656,7,2,4,1
2,h_h000660,7,1,3,1
1,h_h000660,7,1,3,1
1,h_h000667,7,2,4,1
2,h_h000673,7,2,3,1
1,h_h000673,7,2,3,1
1,h_h000674,8,1,3,1
1,h_h000676,8,2,3,1
1,h_h000677,8,2,3,3
1,h_h000678,2,2,2,1
2,h_h000678,2,1,2,1
1,h_h000683,2,2,2,1
1,h_h000689,3,2,7,1
3,h_h000689,5,2,4,3
2,h_h000689,3,1,7,1
1,h_h000690,7,2,3,1
1,h_h000695,7,2,4,1
3,h_h000695,7,2,4,1
2,h_h000695,7,2,4,1
1,h_h000701,8,1,3,1
1,h_h000703,7,2,4,1
1,h_h000705,8,1,3,1
1,h_h000707,8,1,3,1
2,h_h000713,2,1,1,1
1,h_h000713,1,2,4,1
1,h_h000716,1,1,4,1
3,h_h000716,3,1,7,1
2,h_h000716,2,2,1,1
4,h_h000716,3,2,7,1
1,h_h000719,1,1,5,1
1,h_h000722,3,2,7,3
1,h_h000723,8,1,4,1
1,h_h000725,8,2,3,1
1,h_h000734,7,2,3,1
1,h_h000739,1,1,5,1
2,h_h000739,2,2,1,1
1,h_h000740,1,2,5,1
3,h_h000740,2,2,2,1
2,h_h000740,2,2,2,1
1,h_h000742,1,1,4,1
3,h_h000742,2,1,1,1
2,h_h000742,2,2,1,1
4,h_h000742,2,2,1,1
1,h_h000745,1,1,4,1
3,h_h000745,2,2,1,1
2,h_h000745,2,1,1,1
4,h_h000745,2,1,1,1
2,h_h000753,3,2,7,3
4,h_h000753,6,1,1,3
1,h_h000753,1,1,4,1
3,h_h000753,5,2,4,3
1,h_h000756,1,1,6,1
3,h_h000756,2,2,1,1
2,h_h000756,2,1,2,1
1,h_h000758,2,1,2,1
1,h_h000759,8,1,4,1
2,h_h000760,2,1,1,1
1,h_h000760,1,1,5,1
2,h_h000761,2,1,2,1
1,h_h000761,1,2,5,1
3,h_h000761,2,1,1,1
1,h_h000763,1,1,5,1
1,h_h000768,1,1,5,1
2,h_h000768,2,1,2,1
1,h_h000771,3,1,6,1
2,h_h000771,3,2,6,1
1,h_h000773,1,1,4,1
2,h_h000773,2,1,1,1
3,h_h000781,2,2,2,1
2,h_h000781,2,2,2,1
1,h_h000781,1,1,5,1
1,h_h000782,8,2,4,1
1,h_h000788,8,1,4,1
1,h_h000789,7,2,4,1
1,h_h000791,1,1,4,1
3,h_h000791,2,2,2,1
2,h_h000791,2,1,2,1
1,h_h000794,1,1,3,1
1,h_h000797,7,2,3,1
1,h_h000799,1,2,4,1
3,h_h000799,2,2,1,1
2,h_h000799,2,2,1,1
2,h_h000800,2,2,1,1
1,h_h000800,2,1,2,1
1,h_h000805,7,2,3,1
2,h_h000806,2,1,1,1
1,h_h000806,1,1,5,1
1,h_h000807,3,2,7,1
2,h_h000807,6,2,7,3
1,h_h000810,8,1,3,1
1,h_h000814,5,2,3,1
2,h_h000815,2,2,2,1
1,h_h000815,1,2,5,1
3,h_h000815,2,1,1,1
3,h_h000817,2,2,3,1
2,h_h000817,3,2,7,1
1,h_h000817,1,2,5,1
1,h_h000819,1,1,5,1
3,h_h000819,2,2,2,1
2,h_h000819,4,2,8,1
4,h_h000819,2,2,1,1
2,h_h000821,7,2,3,1
4,h_h000821,7,2,3,2
1,h_h000821,7,2,3,1
3,h_h000821,7,2,3,1
2,h_h000825,2,1,2,1
1,h_h000825,2,2,3,1
1,h_h000826,7,2,3,1
2,h_h000829,2,2,1,1
1,h_h000829,1,1,4,1
3,h_h000829,2,2,1,1
1,h_h000831,1,1,5,3
3,h_h000831,2,1,1,1
5,h_h000831,11,1,1,3
2,h_h000831,2,2,1,1
4,h_h000831,7,2,5,3
2,h_h000832,7,2,5,1
4,h_h000832,2,1,1,1
1,h_h000832,7,2,5,1
3,h_h000832,7,2,5,1
3,h_h000833,2,1,1,1
2,h_h000833,3,2,7,1
4,h_h000833,2,2,1,1
1,h_h000833,1,1,5,1
1,h_h000835,7,2,3,1
2,h_h000835,7,2,3,1
1,h_h000837,1,1,5,1
3,h_h000837,2,2,1,1
2,h_h000837,2,1,1,1
1,h_h000844,8,2,3,3
1,h_h000846,11,1,6,3
1,h_h000849,3,2,8,3
1,h_h000852,8,1,4,3
1,h_h000855,2,2,1,1
3,h_h000855,6,1,5,1
2,h_h000855,5,2,5,1
4,h_h000855,6,2,1,1
1,h_h000858,8,2,4,1
2,h_h000861,7,1,3,1
3,h_h000861,7,2,3,1
1,h_h000861,8,1,3,1
2,h_h000866,3,2,6,1
4,h_h000866,6,2,5,1
6,h_h000866,6,2,5,1
8,h_h000866,6,2,8,1
1,h_h000866,3,1,6,1
3,h_h000866,6,1,6,1
5,h_h000866,6,1,5,1
7,h_h000866,6,2,2,1
1,h_h000868,1,2,4,1
3,h_h000868,3,1,7,1
2,h_h000868,2,2,1,1
1,h_h000869,1,2,4,1
3,h_h000869,2,2,1,1
2,h_h000869,2,2,1,1
2,h_h000871,2,1,1,1
1,h_h000871,1,1,5,1
1,h_h000873,8,1,3,1
2,h_h000874,7,2,3,1
1,h_h000874,7,2,3,1
2,h_h000877,7,2,5,2
4,h_h000877,7,2,5,2
6,h_h000877,7,2,5,2
8,h_h000877,7,2,5,2
1,h_h000877,1,1,5,3
3,h_h000877,7,2,5,2
5,h_h000877,7,2,5,2
7,h_h000877,7,2,5,2
1,h_h000884,1,1,5,1
3,h_h000884,2,1,1,1
2,h_h000884,2,1,1,1
1,h_h000886,8,2,4,1
1,h_h000892,7,2,5,1
3,h_h000892,7,2,5,1
2,h_h000892,7,2,5,1
1,h_h000895,3,1,7,1
2,h_h000895,3,2,7,1
2,h_h000897,5,2,2,1
4,h_h000897,4,2,8,1
1,h_h000897,3,2,6,1
3,h_h000897,4,1,8,1
2,h_h000898,2,2,1,1
1,h_h000898,1,2,4,1
1,h_h000899,3,1,8,1
3,h_h000899,2,2,1,1
2,h_h000899,3,2,8,1
4,h_h000899,2,2,1,1
1,h_h000904,8,1,4,1
1,h_h000908,8,1,5,1
1,h_h000909,1,2,4,1
3,h_h000909,2,2,2,1
2,h_h000909,2,1,2,1
1,h_h000914,2,2,1,1
2,h_h000914,2,2,1,1
1,h_h000915,1,1,4,1
1,h_h000917,8,1,4,1
2,h_h000920,2,2,1,1
1,h_h000920,1,1,4,1
3,h_h000920,2,1,1,1
1,h_h000922,8,2,4,1
1,h_h000926,2,2,1,1
3,h_h000926,11,2,1,1
2,h_h000926,7,2,5,1
2,h_h001023,7,2,3,3
1,h_h001023,7,2,3,1
2,h_h001024,2,1,2,1
4,h_h001024,2,2,1,1
1,h_h001024,7,2,8,1
3,h_h001024,2,1,2,1
5,h_h001024,2,2,4,1
2,h_h001025,2,2,1,1
1,h_h001025,1,2,5,1
2,h_h001026,7,1,4,1
1,h_h001026,7,1,4,1
1,h_h001032,7,2,4,1
2,h_h001034,7,2,3,1
1,h_h001034,7,2,4,1
3,h_h001034,7,2,3,1
1,h_h001036,1,1,4,1
3,h_h001036,7,1,4,3
5,h_h001036,7,2,4,1
2,h_h001036,7,1,4,2
4,h_h001036,7,1,4,1
6,h_h001036,7,2,4,2
2,h_h001038,2,1,4,1
1,h_h001038,1,1,4,1
1,h_h001041,3,1,8,1
3,h_h001041,1,1,5,2
5,h_h001041,2,2,2,1
7,h_h001041,6,2,4,1
2,h_h001041,3,2,7,1
4,h_h001041,2,2,2,1
6,h_h001041,5,1,5,1
1,h_h001054,8,1,3,1
1,h_h001057,8,1,3,1
1,h_h001063,3,1,7,1
3,h_h001063,5,1,3,1
2,h_h001063,3,2,7,1
2,h_h001068,2,2,1,1
1,h_h001068,1,2,4,1
3,h_h001068,2,2,1,1
1,h_h001073,7,1,3,1
1,h_h001074,2,2,2,1
2,h_h001074,2,1,1,1
1,h_h001075,1,2,4,1
2,h_h001076,2,2,1,1
4,h_h001076,3,2,7,1
1,h_h001076,1,1,5,1
3,h_h001076,2,1,1,1
1,h_h001078,8,1,3,1
1,h_h001084,8,1,4,3
2,h_h001085,3,2,7,1
1,h_h001085,2,1,1,1
1,h_h001086,7,2,4,1
3,h_h001086,7,2,4,1
2,h_h001086,7,2,4,1
1,h_h001089,1,1,4,1
1,h_h001091,2,1,1,1
2,h_h001091,2,1,2,1
1,h_h001096,8,1,3,1
2,h_h001098,3,2,7,1
1,h_h001098,3,1,7,1
3,h_h001098,5,1,3,1
2,h_h001101,7,2,3,1
1,h_h001101,7,2,3,1
3,h_h001101,7,2,3,3
1,h_h001102,8,2,3,1
2,h_h001103,7,1,3,1
1,h_h001103,7,1,3,1
1,h_h001106,8,1,4,1
1,h_h001113,8,2,3,1
1,h_h001117,7,2,3,1
2,h_h001120,5,2,5,3
1,h_h001120,2,2,1,1
3,h_h001120,3,2,8,3
1,h_h001121,7,1,3,1
1,h_h001124,7,1,6,2
1,h_h001125,8,1,4,1
1,h_h001127,8,1,3,1
1,h_h001129,1,1,3,1
1,h_h001131,1,1,5,1
2,h_h001136,2,1,1,1
1,h_h001136,1,1,4,1
1,h_h001140,5,2,3,1
1,h_h001146,8,1,3,1
1,h_h001148,8,1,3,1
1,h_h001151,3,1,6,1
3,h_h001151,5,2,3,1
2,h_h001151,3,2,6,1
5,h_h001152,7,2,3,1
2,h_h001152,7,2,3,1
4,h_h001152,7,2,3,1
1,h_h001152,7,2,3,1
3,h_h001152,7,2,3,1
1,h_h001156,1,1,5,1
3,h_h001156,2,1,1,1
2,h_h001156,2,1,1,1
2,h_h001157,7,2,4,3
1,h_h001157,7,2,4,1
3,h_h001157,7,2,4,3
1,h_h001160,8,1,3,1
1,h_h001161,8,1,3,1
1,h_h001162,8,1,5,3
3,h_h001167,3,2,8,1
2,h_h001167,3,1,8,1
1,h_h001167,5,2,6,1
1,h_h001168,8,1,3,1
1,h_h001171,9,2,5,1
2,h_h001171,9,2,6,1
1,h_h001182,1,1,6,2
2,h_h001182,2,2,3,3
1,h_h001183,8,1,3,3
3,h_h001183,9,1,3,3
2,h_h001183,7,2,3,3
3,h_h001184,7,1,4,2
2,h_h001184,7,1,4,2
1,h_h001184,7,2,4,2
1,h_h001185,8,1,3,1
1,h_h001188,1,1,4,1
2,h_h001195,7,2,3,1
1,h_h001195,7,1,3,1
3,h_h001195,7,2,3,1
1,h_h001196,7,2,3,1
1,h_h001198,1,1,4,1
2,h_h001198,2,1,1,1
1,h_h001203,1,1,4,1
3,h_h001203,2,2,1,1
2,h_h001203,2,1,2,1
1,h_h001206,7,2,3,1
1,h_h001207,7,1,5,1
1,h_h001208,7,2,3,3
2,h_h001208,7,2,3,3
3,h_h001210,5,1,3,1
2,h_h001210,3,2,6,1
1,h_h001210,3,1,6,1
1,h_h001211,8,1,4,1
1,h_h001213,7,2,6,1
1,h_h001214,8,1,3,1
1,h_h001215,5,2,3,2
1,h_h001223,9,1,6,1
1,h_h001224,1,1,6,1
3,h_h001224,5,2,4,1
2,h_h001224,2,1,1,1
1,h_h001229,1,1,5,1
3,h_h001229,2,2,1,1
2,h_h001229,2,2,1,1
2,h_h001230,2,2,1,1
4,h_h001230,6,1,4,3
6,h_h001230,6,2,1,3
8,h_h001230,6,1,5,3
10,h_h001230,6,2,2,3
1,h_h001230,1,1,4,1
3,h_h001230,3,2,7,3
5,h_h001230,6,2,5,3
7,h_h001230,6,2,1,3
9,h_h001230,6,2,2,3
1,h_h001233,8,1,4,1
2,h_h001234,3,2,6,1
1,h_h001234,3,1,6,1
2,h_h001235,7,2,3,1
1,h_h001235,7,2,3,1
3,h_h001235,7,2,3,3
1,h_h001236,8,1,3,1
1,h_h001240,7,2,3,1
1,h_h001247,6,2,3,1
1,h_h001250,8,2,3,1
1,h_h001252,3,2,6,1
2,h_h001253,2,2,1,1
1,h_h001253,1,1,4,1
3,h_h001253,3,2,7,1
1,h_h001254,5,2,5,1
3,h_h001254,6,2,1,1
2,h_h001254,6,2,1,1
2,h_h001255,7,2,3,1
1,h_h001255,7,2,3,1
2,h_h001258,7,2,3,1
4,h_h001258,7,1,2,1
6,h_h001258,7,1,3,1
1,h_h001258,7,2,2,1
3,h_h001258,7,1,2,1
5,h_h001258,7,1,3,1
7,h_h001258,7,1,3,1
1,h_h001260,1,1,5,1
3,h_h001260,2,2,1,1
2,h_h001260,2,1,1,1
1,h_h001261,3,2,7,3
1,h_h001262,7,2,5,1
2,h_h001269,11,1,2,2
1,h_h001269,8,2,3,1
2,h_h001270,7,2,3,1
1,h_h001270,7,1,4,1
1,h_h001275,7,1,3,1
1,h_h001279,7,1,3,1
