travel_id,adv_nm,adv_seq,payment_num,brno,store_nm,road_nm_addr,lotno_addr,road_nm_cd,lotno_cd,payment_dt,payment_mthd_se,payment_amt_won,payment_etc,sgg_cd
h_h000846,라면.가스,0,1,,청어람마트,602-1,,,,,3,20000,,4833010200
h_h001789,아쿠아슈즈,0,1,,다이소,361-1,,,,,1,4000,,2620012100
h_h002779,여행 가방; 여행 수첩,0,1,,다이소 상일동점,다이소 상일동점,,,,,1,11000,,1174010300
h_h002140,차량용 거치대; 차량용 고속 충전기,0,1,,주식회사 아성 다이소,애플아울렛 3층,,,,,1,11000,,2653010400
h_h001610,스노쿨링장비;모자,0,1,,다이소중화산점,서원로335,,,,,1,10000,,4511112700
h_h000832,옷과 캐리어,2,1,1357700064,Style 21번가,광주 광산구 임방울대로 318,광주 광산구 수완동 1482,2009005,2920011400,2023-06-06 18:41:00,1,11000,샌드30t/아이,
h_h000478,영양밥(이동식),0,1,,빅마마수제영양밥,엘지로55-43,,,,,3,13000,,4122031000
h_h000914,옷,2,3,1040148899,토니,서울 중구 남대문시장8길 16,서울 중구 남창동 46-3,4103022,1114011200,2023-06-09 13:37:00,1,22000,,
h_h002474,햇빈 및 래토르트 식품류,1,4,2138152063,(주)아성다이소,경남 창원시 마산회원구 내서읍 중리공단로 13,경남 창원시 마산회원구 내서읍 원계리 400-24,3330024,4812725027,2023-07-27 20:16:00,1,20000,햇반;오뚜기3분김치참치덮밥소스;오뚜기3분쇠고기카레;오뚜기옛날육개장,
h_h000108,식당예약금,1,1,4300102263,단백,제주특별자치도 서귀포시 성산읍 성산중앙로 17,제주특별자치도 서귀포시 성산읍 성산리 164-11,3350155,5013025921,2023-06-05 00:05:00,1,22000,,
h_h006332,가스 충전비 (주유비),0,2,,GS칼텍스 대홍충전소,1706,,,,,1,32540,,5013010500
h_h000028,삼다수 물 2L,0,3,,GS편의점,오복 5길 5 gs편의점,,,,,3,1500,,5011010400
h_h000037,마음샌드,0,2,,파리바게뜨 제주공항렌트카하우스점,공항로2 제주국제공항 렌트카하우스,,,,,1,48000,,5011010900
h_h000043,아기 이유식 인터넷구매,0,1,,짱죽,238-2,,,,,1,51200,,4617013000
h_h000055,등산스틱,0,1,,당근구매,,,,,,5,45000,,1121510300
h_h000069,제주투어패스,1,2,2118841856,주식회사티몬,서울 강남구 테헤란로 114,서울 강남구 역삼동 824,3122010,1168010100,2023-05-11 00:00:00,1,20900,"[여행박람회]제주투어패스 제주여행 프리패스권,48시간/72시간/120시간 이용권",
h_h000069,제주투어패스,2,2,2118841856,㈜티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,2023-05-10 00:00:00,1,20900,[여행박람회]제주투어패스 제주여행 프리패스권,
h_h000076,비키니,1,1,1208800767,(주)쿠팡,서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-05-20 00:00:00,1,22900,헤링본 도로시 홀터넥 섹시 스트랩 볼륨업 비키니 수영복 호캉스 휴양지 비치웨어,
h_h000076,비키니,2,1,1208800767,쿠팡,서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-05-22 00:00:00,1,22100,"하운드 체크 모노키니 2 피스 스트랩 수영복, 블랙L",
h_h000080,우도전동차 렌트,1,1,2281161974,우도전동차렌트,제주특별자치도 제주시 우도면 상우목길 23-15,제주특별자치도 제주시 우도면 연평리 2137-1,4847876,5011033021,2023-05-18 22:37:00,1,30000,전기차 싸이드카 역삼륜오토바이 스쿠터;전기자전거 종일권 야간대여,
h_h000087,캐리어,1,3,2208183676,주식회사 지마켓,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010,1168010100,2023-05-16 00:00:00,1,65040,나인티고 캐리어 다뉴브 기내용20인치,
h_h000095,모자,0,1,,이마트 양재점,서울 서초구 매헌로 16,,,,,1,2000,,1165010200
h_h000097,랜딩다이닝 저녁 뷔페 이용권,0,6,,신화월드 랜딩다이닝,신화역사로 304번길 38,,,,,2,466030,,5013031000
h_h000104,빵,0,4,,수더분,,,,,,1,18500,,1144010200
h_h000108,식당예약금,2,1,7978101854,주식회사 포잉코퍼레이션,서울 중구 동호로17길 13,서울 중구 신당동 821-3,4103094,1114016200,2023-06-02 21:16:00,1,15000,세컨드스토리,
h_h000120,아이스 아메리카노,0,1,,블루샥 문현지게골점,351-30,,,,,1,2000,,2629010900
h_h000150,삼겹살,0,3,,홈플러스 서귀포점,홈플러스 서귀포점,,,,,1,50000,,5013010500
h_h000155,햇반; 아기이유식; 유아용간식,0,4,,이마트 가든파이브점,송파구 충민로10 가든파이브툴 지하1층,,,,,1,34800,,1171010800
h_h000185,아기 이유식 및 간식,1,3,2208160348,홈플러스,울산 남구 수암로 148,울산 남구 야음동 789-91,3170032,3114010800,2023-05-18 18:44:00,1,42000,매일유업 핑크퐁 요미요미 미니팝 구운 옥수수 외 13건,
h_h000192,렌트카용 카시트,1,1,1128600705,베베핏,서울 서초구 태봉로 114,서울 서초구 우면동 142,3121020,1165010300,2023-04-02 00:00:00,1,45000, 리안 부스터카,
h_h000212,캐리어,1,3,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-05-28 00:00:00,1,75890,"코멧 마스크 스트랩 목걸이줄 투톤 4p,4p(투톤);브라이튼 브이 하드 캐리어,미드나잇블루,28형",
h_h000215,주유,0,1,,주유소,,,,,,1,50000,,5011031000
h_h000222,제주투어패스,1,2,2068689631,(주)엘에스컴퍼니,제주특별자치도 제주시 청사로 11,제주특별자치도 제주시 도남동 573-2,3349193,5011012900,2023-05-09 00:00:00,1,41300,제주투어패스 48시간 특가,
h_h000225,캐리어,1,1,2588701370,와디즈(주),경기 성남시 분당구 판교로 242,경기 성남시 분당구 삼평동 624,3180051,4113510900,,3,59000,라일락 가든,
h_h000248,도고렉스타 압박스타킹,1,1,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-05-29 00:00:00,1,29750,"도고렉스타505번 강압 종아리형압박스타킹 블랙,S,1개,종아리/무릎형",
h_h000275,휴대폰 보조배터리,1,1,2208183676,주식회사 지마켓 ,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010,1168010100,2023-06-01 15:29:00,1,25900,,
h_h000276,빛의벙커 입장권,0,3,,(주)플레이스엠,논현로75길 8,,,,,4,49000,,1168010100
h_h000283,비행기 값,1,4,,,,,,,2023-05-26 09:53:00,1,171200,비행기표,
h_h000283,비행기 값,2,4,,,,,,,2023-05-26 09:53:00,1,329200,비행기표,
h_h000291,커피,0,2,,CU김포공항,하늘길 84 3층 김포공항국내선점,,,,,1,6000,,1150010900
h_h000304,제주패스,1,3,2178114493,(주)티몬,서울 중구 을지로 170,서울 중구 을지로4가 323,3101006,1114015000,2023-05-29 02:39:00,1,70500,,
h_h000312,보조배터리,1,1,1068676229,(주)리큐엠,서울 영등포구 양산로 43,서울 영등포구 양평동3가 16,3118016,1156012700,2023-05-25 01:09:00,1,21599,리큐엠 20W 고속충전 LCD잔량표시 10000MAH 미니 보조배터리 QP1000A,
h_h000314,공차,1,1,2148884534,공차,부산 강서구 공항진입로 108,부산 강서구 대저2동 2350-1,3136004,2644010200,2023-05-31 12:01:00,1,4900,피스타치오 밀크티L,
h_h000317,커피,1,1,2018121515,스타벅스,제주특별자치도 제주시 연삼로 884,제주특별자치도 제주시 도련일동 2191-2,3349137,5011013000,2023-06-06 15:14:00,3,15600,G)자바칩F;G)제주유기농말차F,
h_h000339,수영복,0,1,,까까베이커리,889-2 (네이버스마트스토어를 통해 구매),,,,,1,16170,,2920011500
h_h000344,비행기표.렌트카.숙소.,1,2,1048183563,(주)제주도닷컴,서울 구로구 디지털로32길 30,서울 구로구 구로동 222-7,4148337,1153010200,2023-06-04 00:00:00,1,64970,코델리아S호텔 ,
h_h000344,비행기표.렌트카.숙소.,3,2,1048183563,(주)제주도닷컴,서울 구로구 디지털로32길 30,서울 구로구 구로동 222-7,4148337,1153010200,2023-06-06 00:00:00,1,44630,코델리아S 호텔,
h_h000344,비행기표.렌트카.숙소.,5,2,8258100091,에어서울 주식회사,서울 강서구 하늘길 176,서울 강서구 공항동 1373-5,4145490,1150010800,2023-05-24 00:00:00,1,64800,비행기표,
h_h000456,스노클마스크; 숏핀; 셀카봉,0,2,,벤디스,692-9 2층,,,,,3,113000,,4141010500
h_h000464,비행기티켓,0,4,,대한항공,김포공항,,,,,1,590000,,1150010900
h_h000473,등산스틱,1,1,2208183676,주식회사 지마켓,서울 강남구 테헤란로 131,서울 강남구 역삼동 647-9,3122010,1168010100,2023-05-19 22:04:00,1,42900,트렉스타 보이져 4단 등산스틱 2p1세트+케이스 ,
h_h000475,다이닝 공연,0,4,,해녀의부엌,북촌9길 31,,,,,1,236000,,5011025900
h_h000481,앤디앤라라홈 뮤즈,0,1,,앤디앤라라홈 뮤즈,광상로 538 에이동,,,,,3,24000,,5011025300
h_h000482,여행용 짐가방2개,0,6,,비밀공구,177-12,,,,,1,17800,,4148011100
h_h000484,제주패스48시간이용권 꽈배기도넛 꽈배기 소보루빵 방울토마토 사과 짜요짜요 채소미각,1,4,2023601337,파리바게뜨,제주특별자치도 제주시 애월읍 하광로 41,제주특별자치도 제주시 애월읍 하귀1리 213-8,3349202,5011025340,2023-06-07 09:41:00,1,5400,NEW꽈배기도넛;우리찹쌀왕꽈배기;소보루(성형),
h_h000484,제주패스48시간이용권 꽈배기도넛 꽈배기 소보루빵 방울토마토 사과 짜요짜요 채소미각,2,4,6168223143,하귀농협 하나로마트,제주특별자치도 제주시 애월읍 일주서로 7136,제주특별자치도 제주시 애월읍 하귀1리 190-1,3349236,5011025340,2023-06-07 09:30:00,1,26080,대추방울토마토;농협식품)아름찬채소미각;사과(봉지);서울우유)짜요짜요_복숭아,
h_h000484,제주패스48시간이용권 꽈배기도넛 꽈배기 소보루빵 방울토마토 사과 짜요짜요 채소미각,3,4,2118841856,(주)티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,2023-06-06 00:00:00,1,87600,제주투어패스 제주여행 프리패스권,
h_h000498,왕복항공권,1,1,2208155597,(주)케이지이니시스,서울 중구 통일로 92,서울 중구 순화동 1-170,3000008,1114016800,2023-05-28 13:13:00,1,40800,,
h_h000498,왕복항공권,2,1,6058184518,에어부산(주),부산 강서구 유통단지1로57번가길 6,부산 강서구 대저2동 3148-5,3136083,2644010200,2023-05-28 13:19:00,1,54180,비행기표,
h_h000500,보조배터리,1,1,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-06-03 00:00:00,1,24900,"대용량 보조배터리 잔량표시,블랙,블랙",
h_h000512,제주투어패스 48시간권,0,5,,제주투어패스,청사로 11 4층,,,,,1,70000,,5011012900
h_h000516,보조배터리,0,2,,쿠팡(주),7-30,,,,,1,14150,,1171010200
h_h000518,버킷햇,1,1,1138519030,이랜드월드 패션 사업부,서울 금천구 가산디지털1로 159,서울 금천구 가산동 371-12,3117001,1154510100,2023-06-03 21:13:00,1,23715,유틸리티 스포티즘 버킷햇 ,
h_h000520,등산화,1,1,2068650913,이마트,경북 경산시 옥산로 227,경북 경산시 중산동 623,3313051,4729011000,2023-06-06 21:05:00,1,79000,아식스 신발 ,
h_h000523,모자,0,1,,이마트 영천점,최무선로83,,,,,3,10800,,4723012400
h_h000531,옷- 가디건2개; 티 1개; 케이스,0,1,,토스페이먼츠주식회사,한국지식재산센터 131  15층,,,,,1,94080,,1168010100
h_h000537,올패스 입장권 티켓,2,4,6168197240,주식회사 브이패스,제주특별자치도 제주시 중앙로 352,,3349184,5011010400,2023-06-02 00:00:00,1,18250,48시간 올패스 이용권,
h_h000580,아강 사전예약,0,2,,아강,남원체육관로 1871,,,,,1,60000,,5013025300
h_h000581,의류,1,1,5278800686,(주)LF_카카오페이,경기 성남시 분당구 판교역로 152,경기 성남시 분당구 백현동 537,3179025,4113511000,2023-06-12 18:23:00,1,123100,,
h_h000583,휴애리입장권 및 오설록디저트베스트A세트,1,2,,오설록,제주특별자치도 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리 1235-1,3350197,5013031027,2023-06-28 14:26:00,1,16400,오설록 베스트A세트,
h_h000583,휴애리입장권 및 오설록디저트베스트A세트,2,2,2208742885,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-28 10:50:00,1,23400,[제주]휴애리 입장권,
h_h000589,항공권. 렌트. 숙박. 놀이동산티켓,0,4,,탐라렌트카,1588-2,,,,,1,8000,,5011010900
h_h000609,항공권,1,1,1108114794,(주)대한항공,서울 강서구 하늘길 260,,4145490,1150010800,2023-05-16 00:00:00,1,45900,비행기표,
h_h000609,항공권,2,1,6058184518,에어부산(주),부산 강서구 유통단지1로57번가길 6,부산 강서구 대저2동 3148-5,3136083,2644010200,2023-05-27 00:00:00,1,79600,비행기표,
h_h000653,카메라삼각대,1,2,5248601528,네이버파이낸셜주식회사 ,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-06-26 00:00:00,1,32500,베스트로딩 BLT-420d카메라 스마트폰 삼각대 카메라 삼각대,
h_h000673,여행용캐리어,1,1,2208183676,주식회사 지마켓,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010,1168010100,2023-05-18 00:00:00,1,79900,중대형 여행용 캐리어,
h_h000674,비상약,0,2,,하나약국,계산리,,,,,1,17000,,4374025000
h_h000689,각종 공연 예매,1,4,2118841856,㈜티몬 ,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,2023-06-19 00:00:00,1,58800,,
h_h000689,각종 공연 예매,2,4,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-06-04 00:00:00,1,56000,환상숲 곶자왈공원 외 7건,
h_h000701,스노쿨링 장비와 암튜브,1,2,,,,,,,2023-06-10 21:41:00,1,28000,아넥스 일안식 성인 스노쿨링 세트,
h_h000701,스노쿨링 장비와 암튜브,2,2,,,,,,,2023-06-10 21:42:00,1,11340,씨앤초이스 암튜브 ,
h_h000740,여행자보험,0,4,,트래블로버,당산로41길11,,,,,1,11989,,1156011700
h_h000756,여행가방,1,4,1624200308,정직한이웃,전북 전주시 덕진구 무삼지로 40,전북 전주시 덕진구 인후동1가 890-1,3267022,4511310300,2023-05-05 21:37:00,1,64800,폴리카보네이트 초경량 여행용 캐리어,
h_h000760,보조배터리,0,1,,몽땅할인매장,수양로 180,,,,,3,20000,,4831011300
h_h000763,제주투어패스 48시간 이용권 2매,1,2,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-05-03 00:00:00,1,17320,제주투어패스,
h_h000763,제주투어패스 48시간 이용권 2매,2,2,5248601528,네이버파이낸셜주식회사 ,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-05-03 00:00:00,1,17320,제주투어패스,
h_h000768,스노클링 장비,1,1,3148531165,롯데마트,대전 유성구 테크노중앙로 14,대전 유성구 관평동 887,3167080,3020014600,2023-06-15 21:08:00,1,16830,두원리퍼브생활잡화,
h_h000771,제주투어패스(티몬상품),0,3,,58700,573-24,,,,,1,58700,,5011012900
h_h000772,항공권,0,1,,아시아나항공,아시아나항공,,,,,1,27800,,1150011300
h_h000773,아이 간식(젤리;과자;음료수) 구매,0,2,,다이소 양산증산점,청운로 178,,,,,3,30000,,4833025300
h_h000788,옷,1,1,7318600511,(주)언더비,서울 성북구 화랑로 172,서울 성북구 상월곡동 23-160,3005046,1129013700,2023-06-21 00:00:00,3,95500,썸머 페이퍼 하프셔츠; Half penny 블라우스,
h_h000794,신발,0,2,,스타필드고양,370,,,,,1,45000,,4128111200
h_h000797,모자 2개,1,2,1388524115,롯데쇼핑(주) 평촌점,경기 안양시 동안구 시민대로 180,경기 안양시 동안구 호계동 1039,2182002,4117310400,2023-06-14 19:48:00,1,66680,,
h_h000815,제주패스,0,4,,제주패스,,,,,,1,95600,,5011025000
h_h000817,우비,0,4,,쿠팡,438-9,,,,,4,17000,,3020011500
h_h000832,옷과 캐리어,1,1,8158101244,11번가(주),서울 중구 한강대로 416,,2005005,1114011800,2023-05-21 00:00:00,1,96580,아메리칸투어리스터 ELLEN 캐리어,
h_h000832,옷과 캐리어,3,1,8178500026,(유)무등스포츠 롯데아울렛,광주 광산구 장신로 98,광주 광산구 장덕동 1678,3163047,2920012300,2023-05-20 20:02:00,1,44100,아디다스 남성스포츠티,
h_h000832,옷과 캐리어,4,1,2338600318,(주)어반유니온,경북 구미시 구미대로22길 11,경북 구미시 신평동 465,4724054,4719011100,2023-06-05 14:51:00,1,19900,트렌딧 여성스웨터/풀오,
h_h000832,옷과 캐리어,5,1,2338600318,(주)어반유니온,경북 구미시 구미대로22길 11,경북 구미시 신평동 465,4724054,4719011100,2023-06-06 17:24:00,1,49900,트렌딧 여성스웨터/풀오버,
h_h000852,다이빙 체험비,1,2,7341002212,해빛다이브,제주특별자치도 서귀포시 칠십리로 123,제주특별자치도 서귀포시 서귀동 42,3350263,5013010100,2023-06-04 12:17:00,1,760000,,
h_h000857,소수의견 자리 예약,0,1,,난산리 식당 런치,제주 서귀포시 성산읍 난산로41번길 38,,,,,5,20000,,5011031000
h_h000868,청수리반딪불이축제 입장료,1,4,6168265615,청수마을회 (반딧불이마을 영농조합법인),제주특별자치도 제주시 한경면 대한로 1036,,3350337,5011031021,2023-05-25 14:10:00,1,35000,,
h_h000871,바지,0,1,,홈플러스 탑텐,157-22,,,,,3,15900,,2826012200
h_h000890,서핑강습,1,1,,,,,,,2023-06-11 16:15:00,3,50000,(애월)서핑강습 패들보드 제트서프 새마을서핑운동,
h_h000895,렌트카 대여,1,3,3818700292,다움렌트카,제주특별자치도 제주시 제성1길 75,제주특별자치도 제주시 도두일동 1175-1,4848682,5011012700,2023-06-09 11:40:00,3,152000,렌트비,
h_h000898,차량랜트,1,3,1168119948,한국정보통신(주),서울 중구 세종대로 39,서울 중구 남대문로4가 45,2005001,1114011700,2023-06-20 00:00:00,1,67900,모두투어,
h_h000899,아이들 간식거리(빵; 음료; 젤리),0,2,,하나로마트 왜관남부점,중앙로 143,,,,,3,20000,,4785025021
h_h000914,옷,1,3,5328501731,AK플라자,경기 군포시 엘에스로 143,경기 군포시 금정동 916,3182030,4141010500,2023-06-08 12:26:00,1,69500,,
h_h000917,암튜브 스노쿨링 장비,1,1,1208800767,(주)쿠팡,서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-06-09 00:00:00,3,20880,씨앤초이스 암튜브 유아 성인 공용 물놀이 팔 링 튜브;커넥티아 스노클링 세트,
h_h000920,빵,1,4,5351600303,뚜레쥬르,경기 구리시 갈매길 101,경기 구리시 갈매동 480-14,4388001,4131010100,2023-06-24 19:43:00,1,19800,햄야채롤(6개입);생크림버터스콘;우유스틱브레드;뚜레쥬르휭거마드레느;낙엽소시지브레드,
h_h000922,중고텐트,0,1,,중고거래,판매자 거주지,,,,,5,60000,,2920011600
h_h001038,제주마음샌드,0,3,,파리파게트제주공항탑승점,파리바게뜨 제주공항탑승점,,,,,1,48000,,5011010900
h_h001041,제주귤모자,0,3,,아이엠써니,75-1  1층 아이엠써니,,,,,1,17400,,4215010600
h_h001063,아이브로우,1,1,2208777410,(주)네이처리퍼블릭 광명사거리역,경기 광명시 오리로 지하 980,경기 광명시 광명동 158-211,3000022,4121010100,2023-06-11 00:00:00,1,8330,,
h_h001065,음료수와 빵,1,1,2018121515,스타벅스,제주특별자치도 서귀포시 남원읍 일주동로 7129,제주특별자치도 서귀포시 남원읍 남원리 164,3349235,5013025321,2023-06-23 11:41:00,3,11600,G)딸기L리프레셔;트리플 크로크무슈,
h_h001074,음료구입,1,3,4780700070,GS25,제주특별자치도 제주시 진군1길 13,제주특별자치도 제주시 노형동 737-2,4848799,5011012200,2023-06-11 12:33:00,1,7600,환타오렌지; 환타파인; 마운틴블러,
h_h001076,의류,1,1,8550101027,로로희,경기 수원시 권선구 동수원로82번길 29,경기 수원시 권선구 곡반정동 570-14,4325199,4111313600,2023-06-12 19:03:00,1,50397,끌로 꼬임 원피스/앞뒤착용가능,
h_h001076,의류,3,1,8550101027,로로희,경기 수원시 권선구 동수원로82번길 29,경기 수원시 권선구 곡반정동 570-14,4325199,4111313600,2023-06-12 19:03:00,1,46065,로라 리본 린넨 블라우스 ,
h_h001078,서핑,1,2,,서피플서프,제주특별자치도 제주시 애월읍 곽지9길 21,제주특별자치도 제주시 애월읍 곽지리 1565-47,4847151,5011025337,,1,100000,제주도체험 서핑강습,
h_h001101,스노쿨링 장비,0,2,,16000,제주시 중앙로213,,,,,1,16000,,5011010400
h_h001121,항공권,1,2,4018132460,이스타항공(주),서울 강서구 공항대로 236,서울 강서구 마곡동 801,2005007,1150010500,2023-06-22 00:00:00,1,109600,비행기표,
h_h001121,항공권,3,2,4018132460,이스타항공(주),서울 강서구 공항대로 236,서울 강서구 마곡동 801,2005007,1150010500,2023-06-20 15:40:00,1,43600,비행기표 ,
h_h001127,튜브; 펌프,0,2,,다이소,명물길27,,,,,1,11000,,1141011600
h_h001136,어린이용 보행기튜브,0,1,,(주)로이비쥬얼,학동로30길 5  양진프라자6층,,,,,1,33900,,1168010800
h_h001148,삼각대,1,2,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-06-12 23:42:00,1,24250,"아즈나 카메라 스마트폰 삼각대 리모컨 세트, SR-1(화이트)",
h_h001150,프린팅돗자리,1,1,5862200544,(주)아성다이소,경남 양산시 동면 금오2길 68,경남 양산시 동면 석산리 1478-4,4814974,4833031026,2023-06-29 10:44:00,1,5000,프린팅돗자리,
h_h001152,모자;선글라스,0,6,,아이엠써니,75-1,,,,,1,37600,,4215010600
h_h001162,과자와 콤부차,0,1,,쿠팡,,,,,,1,30000,,1171010400
h_h001168,햇반; 과자,0,2,,하모니마트 한대점,718-6,,,,,1,45000,,4127110200
h_h001184,가스트로관수 네이버예약,0,4,,가스트로관수,375-13,,,,,4,260000,,5011010200
h_h001188,의류 및 악세사리,0,2,,에이블리,1303-22,,,,,1,75050,,1165010800
